"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903975","regulation of glial cell migration","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"6376/64805/1524/407006/407007/482",6
"GO:0016055","Wnt signaling pathway","59/1652","413/16481",0.142857142857143,1.42519889311657,2.92088146061814,0.00333263066666568,0.0282681514923774,0.0282681514923774,"144165/857/166336/4653/9314/6425/85407/2262/154810/25937/27122/9839/27123/8322/10979/4772/1910/25876/1601/343637/51473/2719/650/4919/7481/89780/8434/50964/92162/153090/2869/2263/57658/57447/7476/85458/26524/4092/7472/219287/64321/7483/284654/9037/83259/27303/2776/1906/120892/25928/1958/4163/85409/8796/7482/11197/84100/340419/5800",59
"GO:0098771","inorganic ion homeostasis","56/1652","388/16481",0.144329896907216,1.43989166521055,2.92664996683749,0.00334014403535251,0.0282840237317942,0.0282840237317942,"857/6387/6556/6505/2264/123041/1910/212/2658/5028/1003/3741/286097/130733/650/1268/5009/6340/249/57192/785/7223/2852/4499/286133/6547/477/53826/4501/64072/79901/6332/114/858/7222/57158/859/5023/1906/84239/64116/4881/6560/5745/1908/7037/9607/185/845/6358/4489/6368/5348/4093/482/7466",56
"GO:0010001","glial cell differentiation","27/1652","156/16481",0.173076923076923,1.72668327435277,3.04374707487843,0.00336669969262344,0.0284505319389222,0.0284505319389222,"4653/7846/1959/375387/177/22891/9839/146433/4099/2840/11076/650/57716/6547/9444/4916/3569/4915/163175/5354/2824/3949/745/2255/712/728/2358",27
"GO:0008347","glial cell migration","11/1652","44/16481",0.25,2.494098062954,3.31224044511674,0.00337115818306798,0.0284505319389222,0.0284505319389222,"653464/6376/5028/64805/153090/1524/407006/6347/7042/407007/482",11
"GO:0044060","regulation of endocrine process","10/1652","38/16481",0.263157894736842,2.62536638205684,3.3479598055351,0.00341570419924661,0.0287360380435806,0.0287360380435806,"1601/1393/84417/1392/5137/2776/2697/56729/1408/185",10
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","46/1652","306/16481",0.150326797385621,1.49971909667822,2.94504684618354,0.00341645295710633,0.0287360380435806,0.0287360380435806,"857/124857/375387/1028/9372/27122/9839/23090/10979/2658/1003/7122/1601/51232/4091/650/8425/55273/79674/50964/375567/94/2615/6688/5468/26524/4092/7044/2662/91851/168667/83891/28984/7048/25928/3725/7042/7049/2353/93649/2022/659/1030/3491/222223/4093",46
"GO:0043266","regulation of potassium ion transport","15/1652","70/16481",0.214285714285714,2.13779833967485,3.18401045811698,0.00347468791166069,0.0291281112059449,0.0291281112059449,"857/30820/57463/2273/859/88/1804/3753/845/8514/7881/9465/482/283518/4842",15
"GO:0071346","cellular response to type II interferon","15/1652","70/16481",0.214285714285714,2.13779833967485,3.18401045811698,0.00347468791166069,0.0291281112059449,0.0291281112059449,"2204/3113/3394/388646/361/5468/115361/7099/6347/1906/1612/3055/140885/815/383",15
"GO:0006633","fatty acid biosynthetic process","28/1652","164/16481",0.170731707317073,1.70328648201736,3.02107654888747,0.00349770715741378,0.0292291468004067,0.0292291468004067,"23205/123876/240/32/54988/58526/1543/8850/401494/2171/246/5319/9200/5730/27306/5740/1906/33/4056/341/348158/79966/1544/4023/3553/338328/50487/5166",28
"GO:0010595","positive regulation of endothelial cell migration","21/1652","112/16481",0.1875,1.8705735472155,3.08553939965182,0.00349840177144306,0.0292291468004067,0.0292291468004067,"2247/2624/57381/406913/7010/23328/84913/2324/8613/5155/284/306/9037/407006/2113/1906/57608/7049/2549/51378/6237",21
"GO:0001763","morphogenesis of a branching structure","18/1652","91/16481",0.197802197802198,1.97335231354602,3.10762765378681,0.0036558835742936,0.030443429166003,0.030443429166003,"2247/255743/6943/54922/2658/650/1305/6909/2263/2294/186/120892/9353/7048/2022/4855/7075/2255",18
"GO:0016101","diterpenoid metabolic process","18/1652","91/16481",0.197802197802198,1.97335231354602,3.10762765378681,0.0036558835742936,0.030443429166003,0.030443429166003,"1551/5950/216/83875/1543/56603/124/1392/5919/125/1066/8630/5995/5948/158835/1544/4023/3949",18
"GO:0070482","response to oxygen levels","45/1652","299/16481",0.150501672240803,1.50146371682849,2.92069833878108,0.00367309544860422,0.0305360323115306,0.0305360323115306,"27063/114757/857/6387/863/3777/6095/9839/2277/761/212/3741/650/5770/847/1543/6532/358/4921/5468/2263/6547/2977/79625/28984/9124/64506/3727/859/5740/1906/55332/1536/1958/7042/7049/2353/2627/93649/2022/51378/7037/2034/1137/4842",45
"GO:0010817","regulation of hormone levels","65/1652","466/16481",0.139484978540773,1.39155685915888,2.86188392741033,0.00378645317971181,0.0314062281035946,0.0314062281035946,"1551/2690/1215/9060/27122/5950/53905/1359/1910/240/1586/7432/2494/338557/5028/8622/6926/820/3741/1601/695/650/216/83875/1543/1636/1393/84417/56603/124/2852/1392/5468/125/590/25924/283849/1066/90527/3569/114/2776/1511/2697/83539/1906/56729/6817/57818/1408/81027/8630/1958/1908/11069/80223/158835/9607/1544/185/4311/6571/3553/50487/338442",65
"GO:0007264","small GTPase-mediated signal transduction","67/1652","483/16481",0.13871635610766,1.38388878027261,2.8580763820581,0.0037902988235936,0.0314062281035946,0.0314062281035946,"4653/2247/81704/8727/10979/10044/25959/22808/54922/57381/9046/83478/10630/7010/51196/64759/51285/89846/22899/6236/1012/153090/395/5923/153020/9732/10395/80243/79933/22898/84952/257106/2203/85004/117/139818/79567/286205/9754/9912/152273/120892/9353/90627/285489/9411/1718/6792/408/2828/7042/10235/440073/11069/57636/57514/335/185/115727/171024/81848/93663/6237/57493/2255/57580/11214",67
"GO:0045576","mast cell activation","14/1652","64/16481",0.21875,2.18233580508475,3.16309053168714,0.00383802499151088,0.0317492067367063,0.0317492067367063,"2268/2623/2624/85480/6283/695/8013/9846/146722/5730/401258/2776/6571/50487",14
"GO:0061383","trabecula morphogenesis","8/1652","27/16481",0.296296296296296,2.95596807461214,3.39496725748174,0.00389621241442731,0.0321774511260694,0.0321774511260694,"3084/5950/7010/23493/1901/7042/7049/2022",8
"GO:0016339","calcium-dependent cell-cell adhesion","11/1652","45/16481",0.244444444444444,2.43867366155502,3.22550839101122,0.00406539023301869,0.0334643698491341,0.0334643698491341,"28513/1003/56131/51294/1012/5098/64072/222256/8642/1008/6403",11
